epoch,avg_l1,avg_vgg,lr,epoch_time_s,best_l1
40,0.132454,1.072846,3.33e-05,27.8,0.132454
41,0.131902,1.070689,3.28e-05,27.7,0.131902
42,0.131147,1.068993,3.22e-05,27.8,0.131147
43,0.130316,1.067081,3.17e-05,27.7,0.130316
44,0.129601,1.064998,3.11e-05,27.8,0.129601
45,0.129117,1.063047,3.06e-05,27.7,0.129117
46,0.128707,1.060982,3.00e-05,27.7,0.128707
47,0.128287,1.059237,2.94e-05,27.8,0.128287
48,0.127790,1.058081,2.89e-05,27.7,0.127790
49,0.127030,1.056316,2.83e-05,27.7,0.127030
50,0.126076,1.054548,2.78e-05,27.7,0.126076
51,0.125686,1.053965,2.72e-05,27.8,0.125686
52,0.125292,1.052435,2.67e-05,27.7,0.125292
53,0.124141,1.051531,2.61e-05,27.8,0.124141
54,0.123625,1.049775,2.56e-05,27.8,0.123625
55,0.122686,1.049056,2.50e-05,27.8,0.122686
56,0.121920,1.047401,2.44e-05,27.8,0.121920
57,0.120936,1.046053,2.39e-05,27.7,0.120936
58,0.119863,1.045695,2.33e-05,27.7,0.119863
59,0.119600,1.044488,2.28e-05,27.7,0.119600
60,0.118296,1.043229,2.22e-05,27.7,0.118296
61,0.117370,1.042721,2.17e-05,27.8,0.117370
62,0.116130,1.041423,2.11e-05,27.8,0.116130
63,0.115353,1.040718,2.06e-05,27.7,0.115353
64,0.114263,1.040416,2.00e-05,27.8,0.114263
65,0.113466,1.039442,1.94e-05,27.7,0.113466
66,0.111560,1.038470,1.89e-05,27.7,0.111560
67,0.110665,1.037724,1.83e-05,27.8,0.110665
68,0.109327,1.037352,1.78e-05,27.7,0.109327
69,0.108554,1.036370,1.72e-05,27.8,0.108554
70,0.107067,1.035842,1.67e-05,27.8,0.107067
71,0.105383,1.035169,1.61e-05,27.7,0.105383
72,0.104370,1.034902,1.56e-05,27.7,0.104370
73,0.103703,1.034508,1.50e-05,27.7,0.103703
74,0.101842,1.033436,1.44e-05,27.7,0.101842
75,0.100631,1.032577,1.39e-05,27.7,0.100631
76,0.099455,1.032111,1.33e-05,27.8,0.099455
77,0.097987,1.031549,1.28e-05,27.7,0.097987
78,0.097183,1.031304,1.22e-05,27.7,0.097183
79,0.095448,1.030645,1.17e-05,27.8,0.095448
80,0.094394,1.029750,1.11e-05,27.8,0.094394
81,0.093344,1.029131,1.06e-05,27.8,0.093344
82,0.092031,1.028766,1.00e-05,27.8,0.092031
83,0.091212,1.028326,9.44e-06,27.7,0.091212
84,0.089906,1.027474,8.89e-06,27.7,0.089906
85,0.088739,1.027224,8.33e-06,27.7,0.088739
86,0.087466,1.026127,7.78e-06,27.7,0.087466
87,0.086536,1.025902,7.22e-06,27.7,0.086536
88,0.085725,1.025547,6.67e-06,27.8,0.085725
89,0.084802,1.024469,6.11e-06,27.7,0.084802
90,0.083766,1.023861,5.56e-06,27.8,0.083766
91,0.082950,1.023264,5.00e-06,27.8,0.082950
92,0.082138,1.022869,4.44e-06,27.7,0.082138
93,0.081457,1.022675,3.89e-06,27.8,0.081457
94,0.080973,1.022061,3.33e-06,27.7,0.080973
95,0.080179,1.021401,2.78e-06,27.8,0.080179
96,0.079504,1.021302,2.22e-06,27.8,0.079504
97,0.078877,1.020495,1.67e-06,27.8,0.078877
98,0.078389,1.020366,1.11e-06,27.7,0.078389
99,0.078043,1.019842,5.56e-07,27.7,0.078043
100,0.077613,1.019569,0.00e+00,27.7,0.077613
1,0.280471,1.786379,2.00e-04,44.8,0.280471
2,0.175563,1.336120,2.00e-04,37.4,0.175563
3,0.162645,1.223071,2.00e-04,37.3,0.162645
4,0.156970,1.162194,2.00e-04,37.4,0.156970
5,0.153208,1.123149,2.00e-04,37.3,0.153208
6,0.150416,1.094393,2.00e-04,37.4,0.150416
7,0.148410,1.073143,2.00e-04,37.3,0.148410
