epoch,avg_l1,avg_vgg,lr,epoch_time_s,best_l1
18,0.138821,0.896943,4.56e-05,25.9,0.138821
19,0.138950,0.897596,4.50e-05,26.2,0.138821
20,0.138684,0.899307,4.44e-05,25.2,0.138684
21,0.139072,0.894107,4.39e-05,24.9,0.138684
22,0.138722,0.894480,4.33e-05,25.9,0.138684
23,0.138678,0.894252,4.28e-05,27.4,0.138684
24,0.138449,0.895993,4.22e-05,27.7,0.138449
25,0.138430,0.894969,4.17e-05,27.6,0.138449
26,0.138443,0.890539,4.11e-05,26.7,0.138449
27,0.138755,0.889962,4.06e-05,26.4,0.138449
28,0.138440,0.890267,4.00e-05,27.1,0.138449
29,0.138401,0.892120,3.94e-05,27.1,0.138449
30,0.138424,0.890025,3.89e-05,25.8,0.138449
31,0.138563,0.888822,3.83e-05,26.8,0.138449
32,0.138173,0.890401,3.78e-05,26.2,0.138173
33,0.138280,0.888085,3.72e-05,26.1,0.138173
34,0.138293,0.886021,3.67e-05,26.3,0.138173
35,0.137884,0.887280,3.61e-05,25.5,0.137884
36,0.138059,0.886424,3.56e-05,24.9,0.137884
37,0.137838,0.887059,3.50e-05,24.9,0.137884
38,0.137552,0.888725,3.44e-05,26.2,0.137552
39,0.137706,0.885460,3.39e-05,24.7,0.137552
40,0.137811,0.885443,3.33e-05,25.2,0.137552
41,0.137528,0.887222,3.28e-05,24.9,0.137552
42,0.137462,0.888679,3.22e-05,24.9,0.137462
43,0.137533,0.885035,3.17e-05,25.7,0.137462
44,0.137428,0.885028,3.11e-05,26.1,0.137462
45,0.137695,0.883843,3.06e-05,26.1,0.137462
46,0.137447,0.882567,3.00e-05,24.9,0.137462
47,0.137414,0.882506,2.94e-05,25.0,0.137462
48,0.137243,0.882395,2.89e-05,27.2,0.137243
49,0.137132,0.883219,2.83e-05,28.4,0.137132
50,0.137133,0.882676,2.78e-05,28.3,0.137132
51,0.136699,0.882899,2.72e-05,28.0,0.136699
52,0.136883,0.883675,2.67e-05,28.0,0.136699
53,0.137088,0.882199,2.61e-05,25.9,0.136699
54,0.136787,0.880439,2.56e-05,24.9,0.136699
55,0.136464,0.880830,2.50e-05,26.3,0.136464
56,0.136451,0.881906,2.44e-05,28.2,0.136464
57,0.136276,0.881273,2.39e-05,27.5,0.136276
58,0.136309,0.881168,2.33e-05,27.3,0.136276
59,0.136159,0.881536,2.28e-05,27.1,0.136159
60,0.136081,0.880583,2.22e-05,27.4,0.136081
1,0.158825,0.940455,2.00e-04,35.4,0.158825
2,0.159091,0.935343,2.00e-04,30.0,0.158825
3,0.159070,0.934312,2.00e-04,30.0,0.158825
1,0.142940,0.972771,2.00e-04,35.2,0.142940
2,0.142490,0.959496,2.00e-04,31.1,0.142490
3,0.142312,0.953630,2.00e-04,30.5,0.142312
4,0.142441,0.948387,2.00e-04,30.4,0.142312
5,0.142224,0.942371,2.00e-04,30.3,0.142312
6,0.141512,0.927770,2.00e-04,30.3,0.141512
7,0.141445,0.923077,2.00e-04,30.2,0.141512
8,0.141088,0.918880,2.00e-04,30.6,0.141088
9,0.141122,0.918478,2.00e-04,30.2,0.141088
10,0.141346,0.916762,2.00e-04,30.3,0.141088
11,0.141164,0.914769,2.00e-04,30.1,0.141088
12,0.141116,0.913454,2.00e-04,30.3,0.141088
13,0.141069,0.911570,2.00e-04,38.0,0.141088
14,0.141009,0.913619,2.00e-04,32.9,0.141088
15,0.140961,0.904597,2.00e-04,30.7,0.140961
16,0.140572,0.897407,2.00e-04,30.5,0.140572
17,0.140369,0.891536,2.00e-04,30.5,0.140369
18,0.140142,0.888049,2.00e-04,30.0,0.140142
19,0.140200,0.885671,2.00e-04,30.0,0.140142
20,0.140346,0.886419,2.00e-04,30.0,0.140142
21,0.140619,0.885102,2.00e-04,30.0,0.140142
22,0.140049,0.882472,2.00e-04,30.1,0.140142
23,0.140123,0.880879,2.00e-04,30.0,0.140142
24,0.139931,0.878763,2.00e-04,30.0,0.139931
25,0.139908,0.877446,2.00e-04,29.9,0.139931
26,0.139895,0.879684,2.00e-04,30.6,0.139931
27,0.140092,0.876825,2.00e-04,30.0,0.139931
28,0.140186,0.877285,2.00e-04,30.3,0.139931
29,0.139776,0.876316,2.00e-04,31.2,0.139776
30,0.139616,0.875629,2.00e-04,31.1,0.139616
31,0.139928,0.874820,2.00e-04,31.2,0.139616
32,0.140014,0.872817,2.00e-04,31.5,0.139616
33,0.140047,0.872263,2.00e-04,31.3,0.139616
34,0.139830,0.872207,2.00e-04,31.1,0.139616
35,0.139735,0.871405,2.00e-04,31.1,0.139616
36,0.140030,0.871540,2.00e-04,31.2,0.139616
37,0.139764,0.870457,2.00e-04,31.2,0.139616
38,0.139671,0.870405,2.00e-04,31.1,0.139616
39,0.139647,0.871145,2.00e-04,31.1,0.139616
40,0.139796,0.869094,2.00e-04,31.2,0.139616
41,0.139710,0.868114,2.00e-04,31.2,0.139616
42,0.139880,0.867727,2.00e-04,31.1,0.139616
43,0.139760,0.867970,2.00e-04,31.2,0.139616
44,0.139718,0.868937,2.00e-04,31.1,0.139616
45,0.139820,0.867636,2.00e-04,31.2,0.139616
46,0.140194,0.866984,2.00e-04,31.1,0.139616
